Time,X,Y,Z
1184399.311,0.631,-1.272,10.119
1184399.331,0.004,-1.311,9.819
1184399.349,-0.716,-1.45,9.72
1184399.368,-1.224,-1.576,9.127
1184399.387,-1.503,-1.439,9.102
1184399.406,-1.229,-1.343,9.484
1184399.425,-0.822,-1.387,9.37
1184399.444,-0.818,-1.453,9.673
1184399.463,-1.135,-1.21,9.773
1184399.482,-1.158,-1.003,10.13
1184399.501,-1.081,-1.065,10.033
1184399.52,-0.987,-1.087,9.883
1184399.539,-0.364,-1.106,9.375
1184399.558,-0.051,-1.265,9.238
1184399.577,0.2,-1.204,9.248
1184399.596,0.402,-1.292,9.279
1184399.614,0.501,-1.209,9.766
1184399.633,0.606,-1.111,9.615
1184399.652,0.073,-1.188,9.82
1184399.671,-0.177,-0.965,9.697
1184399.69,-0.201,-1.113,10.365
1184399.709,-0.56,-1.099,9.77
1184399.728,-0.836,-1.159,10.571
1184399.748,-1.079,-1.301,10.442
1184399.766,-1.059,-1.302,10.399
1184399.785,-0.956,-1.32,10.297
1184399.804,-0.961,-1.243,10.408
1184399.823,-0.397,-1.274,10.291
1184399.842,-0.148,-1.158,9.996
1184399.861,-0.093,-1.097,10.219
1184399.88,-0.209,-0.975,9.705
1184399.899,-0.069,-0.897,10.156
1184399.918,0.049,-1.061,9.558
1184399.937,0.01,-1.045,10.222
1184399.956,-0.13,-1.203,9.572
1184399.974,-0.243,-1.262,10.143
1184399.993,-0.297,-1.525,9.761
1184400.012,-0.439,-1.557,9.801
1184400.031,-0.054,-1.751,10.209
1184400.05,-0.123,-1.69,9.626
1184400.069,-0.058,-1.663,10.194
1184400.088,-0.343,-1.463,10.197
1184400.107,-0.661,-1.343,10.143
1184400.126,-1.298,-1.028,9.939
1184400.145,-1.488,-0.898,9.728
1184400.164,-1.199,-1.019,9.266
1184400.183,-0.834,-1.027,9.213
1184400.202,-0.581,-1.089,9.096
1184400.221,-0.391,-1.183,9.48
1184400.24,-0.401,-1.176,9.676
1184400.259,-0.494,-1.198,9.889
1184400.277,-0.572,-1.295,10.082
1184400.297,-0.699,-1.322,9.908
1184400.316,-0.623,-1.33,10.274
1184400.335,-0.642,-1.307,9.738
1184400.354,-0.559,-1.275,10.142
1184400.372,-0.311,-1.201,9.863
1184400.391,0.111,-1.199,10.276
1184400.41,0.515,-1.147,9.939
1184400.429,0.692,-1.165,10.346
